Epoch,Train_acc_ce,Valid_acc_ce,Train_acc_focal,Valid_acc_focal
1,0.646977294,0.84586945,0.721220576,0.845429098
2,0.861032038,0.880576487,0.864535955,0.890635179
3,0.889407599,0.897683917,0.8951251,0.899441261
4,0.901250495,0.90328146,0.902470809,0.900866256
5,0.909955174,0.909528255,0.910369442,0.907721502
6,0.916924113,0.907645158,0.913882688,0.905322928
7,0.917753375,0.902241039,0.91565982,0.91016869
8,0.922340757,0.912660766,0.920974723,0.910046055
9,0.925865417,0.918210668,0.923000679,0.907726884
10,0.928369514,0.918372908,0.930786027,0.916956522
11,0.931556419,0.920548166,0.932790719,0.918501601
12,0.93446365,0.92011373,0.936423527,0.922366812
13,0.935929355,0.919223564,0.939657175,0.92155141
14,0.938236511,0.923112351,0.941849077,0.919943
15,0.940835032,0.921207614,0.941622183,0.921783817
16,0.942402078,0.920703823,0.942324327,0.923597957
17,0.939882423,0.9241151,0.944489619,0.922891871
18,0.943205033,0.921913118,0.948659308,0.924184852
19,0.944403119,0.923650931,0.949898787,0.923697022
20,0.946593547,0.922368945,0.951579447,0.92415619
21,0.947751188,0.923987236,0.954330599,0.923447166
22,0.950215438,0.924162639,0.952267374,0.922609706
23,0.949855665,0.922026156,0.951445189,0.924187445
24,0.950162144,0.923434991,0.957217801,0.923032233
25,0.952403739,0.92350227,0.956106235,0.922825191
