Epoch,Train_loss_ce,Valid_loss_ce,Train_loss_focal,Valid_loss_focal
1,1.448100153,1.287798203,0.046660823,0.043366251
2,1.236448424,1.204548541,0.042146283,0.041281935
3,1.1864775,1.178471723,0.040774432,0.040432166
4,1.166444045,1.162331613,0.040172134,0.040101531
5,1.155822595,1.155683294,0.039794236,0.039801434
6,1.147144434,1.152600432,0.039501509,0.039566925
7,1.14297243,1.147741149,0.039344181,0.039403368
8,1.137857754,1.147520151,0.039125228,0.039370802
9,1.135162769,1.144893438,0.039061541,0.039492266
10,1.131063042,1.140446139,0.038928747,0.039356581
11,1.125853313,1.139234448,0.03883063,0.039298795
12,1.125276011,1.139814787,0.038725504,0.03935518
13,1.121635375,1.140487418,0.03873099,0.039368484
14,1.121137749,1.138142194,0.038663239,0.039376551
15,1.117457876,1.133596143,0.038598166,0.039151823
16,1.11324606,1.132247286,0.038509208,0.039176456
17,1.108848919,1.132208266,0.038422936,0.039126384
18,1.106886282,1.131094807,0.038360433,0.039206955
19,1.105535916,1.129602644,0.03832472,0.039203371
20,1.101290547,1.130000409,0.038262535,0.039102689
21,1.102230361,1.128077341,0.0382391,0.039251634
22,1.097594447,1.125717621,0.038222526,0.039407593
23,1.095116398,1.134424636,0.038271415,0.039175765
24,1.093370253,1.132887555,0.038218246,0.039214025
25,1.095777949,1.124859186,0.038123727,0.039176203
